指标名称,中国:GDP:不变价:当季同比,中国:iCPI:总指数:日环比,中国:iCPI:食品烟酒:日环比,中国:iCPI:衣着:日环比,中国:iCPI:居住:日环比,中国:iCPI:生活用品及服务:日环比,中国:iCPI:交通和通信:日环比,中国:iCPI:教育文化和娱乐:日环比,中国:iCPI:医疗保健:日环比,中国:iCPI:其他用品和服务:日环比,中国:中间价:美元兑人民币,中间价:欧元兑人民币,USDCNH:即期汇率,美元兑日元,欧元兑美元,温州指数:温州地区民间融资综合利率,温州指数:温州地区民间融资综合利率:社会直接融资利率,中国:SHIBOR:隔夜,银行间同业拆借加权利率:7天,银行间质押式回购加权利率:7天,GC001:收盘价,1年期国债收益率,上证综合指数,中国:互联网搜索指数:找工作,中国:互联网搜索指数:招聘,中国香港:政府债券收益率:3月,LIBOR:美元:3个月,美国:5年期盈亏平衡通胀率:非季调,英镑兑美元,美元指数,日元指数,日本:国债收益率:6月,日本:企业债有效收益率:综合,欧元区:公债收益率:即期利率收益率曲线:所有债券:6个月,EURIBOR:6个月,韩国:国债收益率:3年,收盘价:美元兑韩元,韩国:KOSPI指数,印尼:日用商品现价:天然棕榈油:棉兰,印尼:日用商品现价:咖啡:棉兰,泰国:债券市场协会指数:总收益:政府债券指数,新加坡:国库券收益率:6个月,菲律宾:国债收益率:6个月,越南:国债收益率:1年,印度:国债收益率:3月,法国:国债收益率:1个月,德国:上市联邦证券利率期限结构:1年期,加拿大:基准债券收益率:5年,花旗美国经济意外指数,花旗欧洲经济意外指数,花旗中国经济意外指数,花旗十国集团经济意外指数,花旗新兴市场经济意外指数,地缘政治风险指数,地缘政治行为指数,地缘政治威胁指数,收盘价:焦炭,期货收盘价(活跃合约):焦煤,"河南:车板价:焦煤(A≤10%,V:25-27%,S≤0.5%,G>75,Mt:8%,平顶山产)","中国:现货价(到岸价):焦煤(峰景矿,A:10.5%,V:21.5%,S:0.61%,G:87,Y:19,Mt:10%,CSR74,澳大利亚产)",期货结算价(活跃合约):IPE布油,期货结算价(活跃合约):NYMEX轻质原油,出厂价:液化气(汽运):荆门石化,中国:出厂价:石油焦(2#B):武汉石化,中国:经销价:汽油(93#IV):成都中石化,山东:库提价:港口内贸燃料油(4#船用),运价:液化气(压力货):华南-海防港,黎城:价格(干基含税):铁精粉(66%),"中国:价格:螺纹钢(HRB400,20mm)","武汉:价格:热轧板卷(Q235B,3.0mm)",山东:价格:方坯(Q235),唐山:市场价(不含税):废钢(6-8mm),中国进口干散货运价指数:综合指数,波罗的海干散货指数(BDI),原油运输指数(BDTI),成品油运输指数(BCTI),中国进口干散货运价指数:综合指数,中国进口原油运价指数:综合指数,远东干散货指数(FDI):综合指数,远东干散货指数(FDI):运价指数,中国:水泥价格指数,南华工业品指数,南华综合指数,南华金属指数,南华能化指数,义乌中国小商品指数:场内价格指数,义乌中国小商品指数:场内价格指数,义乌中国小商品指数:网上价格指数,义乌中国小商品指数:订单价格指数,义乌中国小商品指数:玩具类:价格指数,义乌中国小商品指数:玩具类:出口价格指数,义乌中国小商品指数:文化办公用品类:价格指数,义乌中国小商品指数:文化办公用品类:出口价格指数,义乌中国小商品指数:工艺品类:价格指数,义乌中国小商品指数:工艺品类:出口价格指数,义乌中国小商品指数:首饰类:价格指数,义乌中国小商品指数:首饰类:出口价格指数,义乌中国小商品指数:五金及电料类:价格指数,义乌中国小商品指数:五金及电料类:出口价格指数,义乌中国小商品指数:电子电器类:价格指数,义乌中国小商品指数:电子电器类:出口价格指数,义乌中国小商品指数:钟表眼镜类:价格指数,义乌中国小商品指数:钟表眼镜类:出口价格指数,义乌中国小商品指数:体育娱乐用品类:价格指数,义乌中国小商品指数:体育娱乐用品类:出口价格指数,义乌中国小商品指数:服装服饰类:价格指数,义乌中国小商品指数:服装服饰类:出口价格指数,义乌中国小商品指数:鞋类:价格指数,义乌中国小商品指数:鞋类:出口价格指数,义乌中国小商品指数:针、纺织品类:出口价格指数,义乌中国小商品指数:箱包类:价格指数,义乌中国小商品指数:箱包类:出口价格指数,义乌中国小商品指数:护理及美容用品类:价格指数,义乌中国小商品指数:护理及美容用品类:出口价格指数,义乌中国小商品指数:日用品类:价格指数,义乌中国小商品指数:日用品类:出口价格指数,义乌中国小商品指数:辅料和包装类:价格指数,义乌中国小商品指数:辅料和包装类:出口价格指数,义乌中国小商品指数:总价格指数,义乌中国小商品指数:出口价格指数,中国:开工率:产能(<100万吨):焦化企业(230家),中国:开工率:产能(100-200万吨):焦化企业(230家),中国:开工率:产能(>200万吨):焦化企业(230家),中国:开工率:聚氯乙烯:上游,中国:华北:开工率:聚氯乙烯:下游,中国:华南:开工率:聚氯乙烯:下游,中国:开工率:聚氯乙烯,中国:华东:开工率:聚氯乙烯:下游,中国:开工率:螺纹钢:主要钢厂,中国:开工率:线材:主要钢厂,中国:开工率:电炉,中国:开工率:产能(100-200万吨):焦化企业(230家),中国:开工率:产能(>200万吨):焦化企业(230家),中国出口集装箱运价指数:综合指数,中国:开工率:汽车轮胎(半钢胎),中国:开工率:汽车轮胎(全钢胎),中国:开工率:乙二醇(非乙烯法),中国:开工率:甲醇,中国:开工率:苯乙烯,中国:开工率:纯碱,中国:开工率:聚苯乙烯,中国:开工率:聚苯乙烯泡沫,中国:开工率:石油沥青装置,中国:开工率:尿素,中国进口集装箱运价指数:综合指数
2003Q3,10.00 ,,,,,,,,,,8.2771 ,9.3118 ,,17.3213 ,1.1265 ,,,,,2.4416 ,,,"1,453.5378 ",,,0.8729 ,1.1291 ,1.7825 ,1.6107 ,96.1835 ,99.1896 ,0.0174 ,0.6649 ,,2.1470 ,4.4103 ,"1,174.2785 ",726.4258 ,"3,519.8070 ","10,474.1896 ",153.5659 ,,6.9394 ,,,2.0528 ,2.1778 ,3.8739 ,36.9200 ,10.5153 ,,27.5196 ,-12.3138 ,130.0240 ,163.9326 ,104.4677 ,,,,,27.7944 ,30.1464 ,,,,,,,,"3,404.7312 ",,,,"2,316.7882 ",883.9254 ,988.0061 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,082.0075 ",,,,,,,,,,,
2003Q4,10.00 ,,,,,,,,,,8.2769 ,9.8284 ,,8.7860 ,1.1908 ,,,,,2.6463 ,,,"1,402.5833 ",,,0.1111 ,1.1669 ,2.0130 ,1.7070 ,90.7576 ,105.1787 ,0.0148 ,0.7234 ,,2.1978 ,4.6308 ,"1,181.5775 ",781.4188 ,"4,255.6002 ","10,460.2294 ",144.5468 ,,7.4182 ,,,2.0827 ,2.3117 ,4.0485 ,60.2468 ,54.8853 ,,47.9633 ,-2.1268 ,118.9289 ,149.5238 ,99.1389 ,,,,,28.9716 ,31.1697 ,,,,,,,,"3,718.0179 ",,,,"4,358.4515 ","1,503.0694 ",931.4731 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,091.2714 ",,,,,,,,,,,
2004Q1,10.60 ,,,,,,,,,,8.2771 ,10.3540 ,,7.2651 ,1.2498 ,,,,,2.2005 ,,,"1,660.4585 ",,,0.0395 ,1.1219 ,2.1496 ,1.8376 ,87.1181 ,105.0422 ,0.0094 ,0.6702 ,,2.0747 ,4.7727 ,"1,172.2969 ",863.8983 ,"4,191.7459 ","11,377.9500 ",146.0458 ,,8.2159 ,,,2.0374 ,2.0671 ,3.5363 ,6.5859 ,18.0757 ,34.5677 ,15.5510 ,19.0723 ,121.4183 ,145.2594 ,105.8721 ,,,,,31.1246 ,34.9974 ,,,,,,,,"4,452.9877 ",,,,"5,267.9863 ","1,736.8711 ","1,288.5480 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,069.7510 ",,,,,,,,,,,
2004Q2,11.60 ,,,,,,,,,,8.2769 ,9.9606 ,,9.5767 ,1.2050 ,,,,,2.2317 ,,,"1,577.5603 ",,,0.2472 ,1.2966 ,2.4674 ,1.8080 ,89.7834 ,104.0115 ,0.0129 ,0.7975 ,,2.1252 ,4.4049 ,"1,161.7430 ",827.6359 ,"4,099.7784 ","13,034.1000 ",145.1007 ,,8.8468 ,,,2.0276 ,2.2242 ,3.9208 ,30.7065 ,-15.0497 ,11.7631 ,8.7331 ,40.1328 ,136.4574 ,181.4568 ,107.1833 ,,,,,35.0593 ,38.2366 ,,,,,,,,"4,465.0036 ",,,,"3,690.0616 ","1,288.7150 ","1,006.8987 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,099.2586 ",,,,,,,,,,,
2004Q3,9.80 ,,,,,,,,,,8.2767 ,10.1103 ,,9.8650 ,1.2222 ,,,,2.3278 ,2.2515 ,,,"1,383.1264 ",,,0.5509 ,1.7289 ,2.3361 ,1.8190 ,88.6245 ,103.4595 ,0.0126 ,0.8119 ,,2.1852 ,3.8731 ,"1,154.8279 ",783.5945 ,"4,006.4559 ","14,714.6500 ",145.2297 ,,8.8045 ,,,2.0070 ,2.2831 ,3.9387 ,-61.5073 ,7.6318 ,-38.5273 ,-29.1858 ,8.8419 ,140.5071 ,174.4948 ,124.9011 ,,,,,40.3871 ,43.6072 ,,,,,,,,"4,539.8638 ",,,,"4,017.0670 ","1,405.8405 ","1,042.2717 ",,,,,,"1,004.0286 ",977.9884 ,"1,007.1993 ",999.8061 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,146.4391 ",,,,,,,,,,,
2004Q4,8.80 ,,,,,,,,,,8.2765 ,10.7010 ,,5.7178 ,1.2969 ,,,,2.1884 ,2.0134 ,,,"1,337.5112 ",,,0.2532 ,2.2939 ,2.5549 ,1.8655 ,84.0136 ,104.9812 ,0.0068 ,0.6845 ,2.0998 ,2.2050 ,3.4128 ,"1,093.6167 ",861.2588 ,"3,913.1333 ","16,395.2000 ",146.5241 ,,9.1986 ,,,2.0310 ,2.2448 ,3.8422 ,-22.9453 ,-31.9396 ,17.6296 ,-31.9991 ,12.4640 ,117.2978 ,148.7283 ,92.3950 ,,,,,44.7418 ,48.2937 ,,,,,,,,"4,693.1728 ",,,,"5,051.7293 ","2,670.6064 ","1,582.2462 ",,,,,,"1,061.7080 ",975.2298 ,"1,115.7401 ",968.8565 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,186.2229 ",,,,,,,,,,,
2005Q1,11.10 ,,,,,,,,,,8.2765 ,10.8708 ,,4.4910 ,1.3106 ,,,,2.1171 ,1.8726 ,,,"1,255.2412 ",,,1.1726 ,2.8380 ,2.7167 ,1.8905 ,83.2196 ,104.7968 ,0.0050 ,0.6654 ,2.0902 ,2.1900 ,3.9733 ,"1,022.5382 ",953.2846 ,"3,765.0243 ","21,000.9062 ",148.4710 ,,8.2569 ,,,2.0384 ,2.2477 ,3.6552 ,-15.2189 ,38.1217 ,54.3718 ,7.3719 ,18.8665 ,99.8245 ,107.4529 ,90.3349 ,,,,,47.8440 ,50.1167 ,,,,,,879.7408 ,,"5,319.0092 ",,,,"4,572.4150 ","1,530.7645 ","1,329.3788 ",,,,,,"1,124.5784 ","1,006.0259 ","1,243.7982 ",932.8942 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,133.3006 ",,,,,,,,,,,
2005Q2,11.10 ,,,,,,,,,,8.2765 ,10.4382 ,,7.5110 ,1.2592 ,,,,1.6918 ,1.1805 ,,,"1,129.9991 ",,,2.3671 ,3.2842 ,2.5762 ,1.8559 ,86.1251 ,102.8266 ,0.0017 ,0.6130 ,2.0286 ,2.1414 ,3.7823 ,"1,007.9123 ",962.3500 ,"3,898.3634 ","22,611.5609 ",153.1726 ,,7.5597 ,,,2.0239 ,2.1032 ,3.4356 ,4.8145 ,-76.4793 ,37.3802 ,-21.9570 ,-14.0585 ,89.1626 ,100.9829 ,77.7599 ,,,,,53.1819 ,53.7505 ,,,,,,870.7660 ,,"5,065.6559 ",,,,"3,599.3302 ","1,247.6037 ","1,103.8692 ",,,,,,"1,212.8822 ","1,070.9579 ","1,387.6194 ",942.2622 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,161.2297 ",,,,,,,,,,,
2005Q3,10.80 ,,,,,,,,,,8.1388 ,9.9407 ,,11.1755 ,1.2199 ,,,,1.5705 ,1.2069 ,,,"1,126.5954 ",,,3.1555 ,3.7723 ,2.4440 ,1.7854 ,88.5181 ,100.1741 ,0.0014 ,0.6717 ,2.0462 ,2.1529 ,4.3249 ,"1,028.9166 ","1,109.8348 ","4,049.0927 ","20,271.4561 ",149.8023 ,,7.9107 ,,,2.0223 ,2.1289 ,3.4048 ,12.8637 ,80.5516 ,37.8554 ,36.3736 ,9.6731 ,128.4752 ,170.4318 ,96.3745 ,,,,,62.0114 ,63.4028 ,,,,,,825.1500 ,,"3,774.3047 ",,,,"2,416.0344 ","1,159.8072 ","1,245.7616 ",,,,,,"1,363.8586 ","1,092.6728 ","1,530.4515 ","1,119.6197 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,145.9597 ",,,,,,,,,,,
2005Q4,12.40 ,,,,,,,,,,8.0832 ,9.6164 ,,17.1987 ,1.1891 ,,,,1.6615 ,1.2919 ,,,"1,120.6093 ",,,3.5338 ,4.3376 ,2.4715 ,1.7483 ,90.7204 ,95.5857 ,0.0163 ,0.8865 ,2.3298 ,2.4585 ,4.9858 ,"1,036.3854 ","1,238.2093 ","4,319.8163 ","19,987.8785 ",142.2186 ,,7.9225 ,,,2.1556 ,2.4960 ,3.8445 ,33.1009 ,97.0040 ,21.7064 ,39.3079 ,24.1293 ,88.2817 ,110.3431 ,71.1483 ,,,,,57.8843 ,60.0676 ,,,,,,801.1290 ,,"3,300.6452 ",,,,"2,785.9493 ","2,076.2719 ","1,605.2499 ",,,,,,"1,502.0847 ","1,122.3484 ","1,720.7630 ","1,160.3764 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,125.0180 ",,,,,,,,,,,
