指标名称,中国:社会消费品零售总额:当月同比,中国:CPI:当月同比,中国:PPI:全部工业品:当月同比,中国:工业增加值:规模以上工业企业:当月同比,中国:出口金额:当月同比,中国:进口金额:当月同比,固定资产投资完成额:累计同比,房地产开发投资完成额:累计同比,固定资产投资完成额:制造业:累计同比,固定资产投资完成额:基础设施建设:累计同比,中国:M2:同比,中国:社会融资规模:当月值,中国:开工率:电炉,银行间质押式回购加权利率:7天,加拿大:基准债券收益率:5年,菲律宾:国债收益率:6个月,越南:国债收益率:1年,义乌中国小商品指数:日用品类:价格指数,日元指数,中国:开工率:聚氯乙烯:上游,GC001:收盘价,中国:开工率:乙二醇(非乙烯法),义乌中国小商品指数:网上价格指数,中国香港:政府债券收益率:3月,义乌中国小商品指数:首饰类:出口价格指数,义乌中国小商品指数:总价格指数,中国:开工率:尿素,义乌中国小商品指数:辅料和包装类:价格指数,中国:开工率:螺纹钢:主要钢厂,花旗欧洲经济意外指数,收盘价:焦炭,地缘政治行为指数,义乌中国小商品指数:订单价格指数,新加坡:国库券收益率:6个月,义乌中国小商品指数:钟表眼镜类:出口价格指数,中国:开工率:纯碱,义乌中国小商品指数:日用品类:出口价格指数,1年期国债收益率,中国进口集装箱运价指数:综合指数,中国:水泥价格指数,中国出口集装箱运价指数:综合指数,义乌中国小商品指数:箱包类:价格指数,中国:iCPI:教育文化和娱乐:日环比,德国:上市联邦证券利率期限结构:1年期,义乌中国小商品指数:服装服饰类:出口价格指数,出厂价:液化气(汽运):荆门石化,EURIBOR:6个月,韩国:KOSPI指数,中国:华北:开工率:聚氯乙烯:下游,成品油运输指数(BCTI),义乌中国小商品指数:工艺品类:出口价格指数,义乌中国小商品指数:玩具类:出口价格指数,"中国:价格:螺纹钢(HRB400,20mm)",义乌中国小商品指数:服装服饰类:价格指数,中国:出厂价:石油焦(2#B):武汉石化,中国:经销价:汽油(93#IV):成都中石化,欧元兑美元,USDCNH:即期汇率,义乌中国小商品指数:护理及美容用品类:价格指数,中国:iCPI:其他用品和服务:日环比,印度:国债收益率:3月,印尼:日用商品现价:天然棕榈油:棉兰,欧元区:公债收益率:即期利率收益率曲线:所有债券:6个月,中国:互联网搜索指数:找工作,美元指数,银行间同业拆借加权利率:7天,义乌中国小商品指数:辅料和包装类:出口价格指数,中国:iCPI:居住:日环比,义乌中国小商品指数:护理及美容用品类:出口价格指数,中国:iCPI:衣着:日环比,义乌中国小商品指数:箱包类:出口价格指数,义乌中国小商品指数:玩具类:价格指数,波罗的海干散货指数(BDI),山东:库提价:港口内贸燃料油(4#船用),义乌中国小商品指数:五金及电料类:出口价格指数,"武汉:价格:热轧板卷(Q235B,3.0mm)",义乌中国小商品指数:鞋类:出口价格指数,义乌中国小商品指数:体育娱乐用品类:价格指数,期货结算价(活跃合约):IPE布油,中国:开工率:线材:主要钢厂,义乌中国小商品指数:鞋类:价格指数,山东:价格:方坯(Q235),义乌中国小商品指数:首饰类:价格指数,义乌中国小商品指数:五金及电料类:价格指数,中国:开工率:聚氯乙烯,韩国:国债收益率:3年,原油运输指数(BDTI),中国:iCPI:生活用品及服务:日环比,期货结算价(活跃合约):NYMEX轻质原油,地缘政治威胁指数,义乌中国小商品指数:电子电器类:价格指数,中国:iCPI:食品烟酒:日环比,花旗十国集团经济意外指数,中国:开工率:产能(<100万吨):焦化企业(230家),中国:华东:开工率:聚氯乙烯:下游,温州指数:温州地区民间融资综合利率,收盘价:美元兑韩元,中国:开工率:聚苯乙烯,英镑兑美元,远东干散货指数(FDI):运价指数,义乌中国小商品指数:工艺品类:价格指数,中国:iCPI:交通和通信:日环比,南华工业品指数,中国:开工率:石油沥青装置,地缘政治风险指数,义乌中国小商品指数:电子电器类:出口价格指数,远东干散货指数(FDI):综合指数,花旗美国经济意外指数,南华综合指数,期货收盘价(活跃合约):焦煤,中国:开工率:聚苯乙烯泡沫,中国:开工率:甲醇,LIBOR:美元:3个月,义乌中国小商品指数:体育娱乐用品类:出口价格指数,美元兑日元,印尼:日用商品现价:咖啡:棉兰,义乌中国小商品指数:文化办公用品类:价格指数,中国:中间价:美元兑人民币,中国:开工率:汽车轮胎(半钢胎),花旗新兴市场经济意外指数,中国:SHIBOR:隔夜,中国:iCPI:医疗保健:日环比,中国:互联网搜索指数:招聘,义乌中国小商品指数:针、纺织品类:出口价格指数,美国:5年期盈亏平衡通胀率:非季调,中国进口原油运价指数:综合指数,中国:华南:开工率:聚氯乙烯:下游,义乌中国小商品指数:文化办公用品类:出口价格指数,中国:开工率:汽车轮胎(全钢胎),运价:液化气(压力货):华南-海防港,泰国:债券市场协会指数:总收益:政府债券指数,上证综合指数,义乌中国小商品指数:出口价格指数,黎城:价格(干基含税):铁精粉(66%),中间价:欧元兑人民币,法国:国债收益率:1个月,南华能化指数,花旗中国经济意外指数,"中国:现货价(到岸价):焦煤(峰景矿,A:10.5%,V:21.5%,S:0.61%,G:87,Y:19,Mt:10%,CSR74,澳大利亚产)",唐山:市场价(不含税):废钢(6-8mm),温州指数:温州地区民间融资综合利率:社会直接融资利率,义乌中国小商品指数:钟表眼镜类:价格指数,中国:开工率:苯乙烯,南华金属指数,日本:企业债有效收益率:综合,"河南:车板价:焦煤(A≤10%,V:25-27%,S≤0.5%,G>75,Mt:8%,平顶山产)"
2017-03-01,10.90,0.90,7.60,7.60 ,15.57,20.24,9.20,9.10,5.80,18.68,10.10,25472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-01,10.70,1.20,6.40,6.50 ,6.64,11.37,8.90,9.30,4.90,18.21,9.80,19559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-01,10.70,1.50,5.50,6.50 ,7.61,13.98,8.60,8.80,5.10,16.66,9.10,17812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-01,11.00,1.50,5.50,7.60 ,10.28,16.97,8.60,8.50,5.50,16.85,9.10,25886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-01,10.40,1.40,5.50,6.40 ,6.34,11.30,8.30,7.90,4.80,16.67,8.90,21188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-01,10.10,1.80,6.30,6.00 ,4.88,13.88,7.80,7.90,4.50,16.09,8.60,20486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01,10.30,1.60,6.90,6.60 ,7.91,19.27,7.50,8.10,4.20,15.88,9.00,25439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-01,10.00,1.90,6.90,6.20 ,6.26,17.36,7.30,7.80,4.10,15.85,8.90,15861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-01,10.20,1.70,5.80,6.10 ,11.51,17.90,7.20,7.50,4.10,15.83,9.10,22956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-01,9.40,1.80,4.90,6.20 ,10.73,4.84,7.20,7.00,4.80,14.93,8.10,18103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,9.55,1.50,4.30,15.43 ,10.65,37.66,7.55,8.45,4.55,13.14,8.60,31417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-01,9.70,2.90,3.70,-2.12 ,43.50,6.59,7.90,9.90,4.30,11.34,8.80,12064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-01,10.10,2.10,3.10,6.00 ,-2.98,14.79,7.50,10.40,3.80,8.34,8.20,17091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-01,9.40,1.80,3.40,7.00 ,11.91,22.28,7.00,10.30,4.80,7.63,8.30,22243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-01,8.50,1.80,4.10,6.80 ,11.90,26.15,6.10,10.20,5.20,5.02,8.30,11234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-01,9.00,1.90,4.70,6.00 ,10.70,13.78,6.00,9.70,6.80,3.31,8.00,20373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-01,8.80,2.10,4.60,6.00 ,11.60,26.92,5.50,10.20,7.30,1.80,8.50,18382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-01,9.00,2.30,4.10,6.10 ,9.55,20.67,5.30,10.10,7.50,0.66,8.20,24078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-01,9.20,2.50,3.60,5.80 ,13.87,14.40,5.40,9.90,8.70,0.26,8.30,23061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-01,8.60,2.50,3.30,5.90 ,14.29,20.38,5.70,9.70,9.10,0.92,8.00,9538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-01,8.10,2.20,2.70,5.40 ,3.92,2.84,5.90,9.70,9.50,1.19,8.00,16127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-01,8.16,1.90,0.90,5.70 ,-4.61,-7.67,5.90,9.50,9.50,1.79,8.10,19311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,8.18,1.70,0.10,6.80 ,9.29,-0.82,6.00,10.55,7.70,2.15,8.40,46791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-01,8.20,1.50,0.10,3.36 ,-20.65,-4.32,6.10,11.60,5.90,2.50,8.00,9665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-01,8.70,2.30,0.40,8.50 ,13.99,-7.14,6.30,11.80,4.60,2.95,8.60,29602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-01,7.20,2.50,0.90,5.40 ,-2.68,4.52,6.10,11.90,2.50,2.97,8.50,16710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-01,8.60,2.70,0.60,5.00 ,1.10,-8.19,5.60,11.20,2.70,2.60,8.50,17124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-01,9.80,2.70,0.00,6.30 ,-1.45,-6.80,5.80,10.90,3.00,2.95,8.50,26243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-01,7.60,2.80,-0.30,4.80 ,3.44,-4.90,5.70,10.60,3.30,2.91,8.10,12872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-01,7.50,2.80,-0.80,4.40 ,-0.96,-5.50,5.50,10.50,2.60,3.19,8.20,21956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-01,7.80,3.00,-1.20,5.80 ,-3.19,-8.20,5.40,10.50,2.50,3.44,8.40,25142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-01,7.20,3.80,-1.60,4.70 ,-0.83,-6.11,5.20,10.30,2.60,3.26,8.40,8680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-01,8.00,4.50,-1.40,6.20 ,-1.27,1.00,5.20,10.20,2.50,3.47,8.20,19937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-01,8.00,4.50,-0.50,6.90 ,8.05,16.67,5.40,9.90,3.10,3.33,8.70,22013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-01,-6.25,5.40,0.10,-4.31 ,-2.94,-12.66,-9.55,-3.20,-14.20,-11.77,8.40,50535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-01,-20.50,5.20,-0.40,-25.87 ,-40.61,7.56,-24.50,-16.30,-31.50,-26.86,8.80,8737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01,-15.80,4.30,-1.50,-1.10 ,-6.89,-1.36,-16.10,-7.70,-25.20,-16.36,10.10,51838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-01,-7.50,3.30,-3.10,3.90 ,3.04,-14.39,-10.30,-3.30,-18.80,-8.78,11.10,31027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-01,-2.80,2.40,-3.70,4.40 ,-3.50,-16.18,-6.30,-0.30,-14.80,-3.31,11.10,31866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-01,-1.80,2.50,-3.00,4.80 ,0.18,3.29,-3.10,1.90,-11.70,-0.07,11.10,34681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-01,-1.10,2.70,-2.40,4.80 ,6.79,-0.69,-1.60,3.40,-10.20,1.19,10.70,16928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-08-01,0.50,2.40,-2.00,5.60 ,9.08,-1.60,-0.30,4.60,-8.10,2.02,10.40,35853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-01,3.30,1.70,-2.10,6.90 ,9.35,13.47,0.80,5.60,-6.50,2.42,10.90,34693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-01,4.30,0.50,-2.10,6.90 ,10.92,4.83,1.80,6.30,-5.30,3.01,10.50,13929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-01,5.00,-0.50,-1.50,7.00 ,20.53,4.56,2.60,6.80,-3.50,3.32,10.70,21355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-01,4.60,0.20,-0.40,7.30 ,18.04,7.58,2.90,7.00,-2.20,3.41,10.10,17192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-01,19.20,-0.30,0.30,25.40 ,24.48,28.71,18.95,22.65,17.55,19.18,9.40,51884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-01,33.80,-0.20,1.70,52.34 ,154.28,18.97,35.00,38.30,37.30,34.95,10.10,17243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,34.20,0.40,4.40,14.10 ,30.32,39.12,25.60,25.60,29.80,26.76,9.40,33762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,17.70,0.90,6.80,9.80 ,31.89,44.05,19.90,21.60,23.80,16.91,8.10,18570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-01,12.40,1.30,9.00,8.80 ,27.52,52.19,15.40,18.30,20.40,10.36,8.30,19522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-01,12.10,1.10,8.80,8.30 ,31.69,37.28,12.60,15.00,19.20,7.15,8.60,37017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-01,8.50,1.00,9.00,6.40 ,18.76,28.27,10.30,12.70,17.30,4.19,8.30,10752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-01,2.50,0.80,9.50,5.30 ,25.09,32.41,8.90,10.90,15.70,2.58,8.20,29893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-01,4.40,0.70,10.70,3.10 ,27.70,16.67,7.30,8.80,14.80,1.52,8.30,29026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-01,4.90,1.50,13.50,3.50 ,26.62,20.01,6.10,7.20,14.20,0.72,8.70,16176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-01,3.90,2.30,12.90,3.80 ,21.49,31.32,5.20,6.00,13.70,-0.17,8.50,25983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-01,1.70,1.50,10.30,4.30 ,20.58,19.70,4.90,4.40,13.50,0.21,9.00,23580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-01,4.20,0.90,9.10,3.86 ,22.74,20.79,8.55,4.05,17.20,4.41,9.80,61759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
