date,GDP不变价:当季同比,中国:社会消费品零售总额:当月同比,中国:CPI:当月同比,中国:PPI:全部工业品:当月同比,中国:工业增加值:规模以上工业企业:当月同比,中国:出口金额:当月同比,中国:进口金额:当月同比,固定资产投资完成额:累计同比,房地产开发投资完成额:累计同比,固定资产投资完成额:制造业:累计同比,固定资产投资完成额:基础设施建设:累计同比,中国:M2:同比,中国:社会融资规模:当月值
2021-07-01,4.87,8.5,1.0,9.0,6.4,18.76,28.27,10.3,12.7,17.3,4.19,8.3,10752.0
2021-08-01,5.75,2.5,0.8,9.5,5.3,25.09,32.41,8.9,10.9,15.7,2.58,8.2,29893.0
2021-09-01,6.66,4.4,0.7,10.7,3.1,27.7,16.67,7.3,8.8,14.8,1.52,8.3,29026.0
2021-10-01,5.93,4.9,1.5,13.5,3.5,26.62,20.01,6.1,7.2,14.2,0.72,8.7,16176.0
2021-11-01,4.48,3.9,2.3,12.9,3.8,21.49,31.32,5.2,6.0,13.7,-0.17,8.5,25983.0
2021-12-01,5.37,1.7,1.5,10.3,4.3,20.58,19.7,4.9,4.4,13.5,0.21,9.0,23580.0
2022-01-01,5.13,4.2,0.9,9.1,3.86,22.74,20.79,8.55,4.05,17.2,4.41,9.8,61759.0
2022-02-01,4.29,6.7,0.9,8.8,12.8,5.09,11.36,12.2,3.7,20.9,8.61,9.2,12170.0
2022-03-01,6.18,-3.53,1.5,8.3,5.0,13.44,0.45,9.3,0.7,15.6,10.48,9.7,46565.0
2022-04-01,6.69,-11.1,2.1,8.0,-2.9,2.23,0.02,6.8,-2.7,12.2,8.26,10.5,9327.0
2022-05-01,7.12,-6.7,2.1,6.4,0.7,15.45,3.35,6.2,-4.0,10.6,8.16,11.1,28415.0
2022-06-01,5.3,3.1,2.5,6.1,3.9,15.38,-0.33,6.1,-5.4,10.4,9.25,11.4,51926.0
2022-07-01,5.97,2.7,2.7,4.2,3.8,16.42,1.23,5.7,-6.4,9.9,9.58,12.0,7785.0
2022-08-01,6.26,5.4,2.5,2.3,4.2,5.87,-0.57,5.8,-7.4,10.0,10.37,12.2,24712.0
2022-09-01,5.96,2.5,2.8,0.9,6.3,4.45,-0.45,5.9,-8.0,10.1,11.2,12.1,35411.0
2022-10-01,3.85,-0.5,2.1,-1.3,5.0,-1.84,-1.31,5.8,-8.8,9.7,11.39,11.8,9134.0
2022-11-01,7.1,-5.9,1.6,-1.3,2.2,-10.38,-11.14,5.3,-9.8,9.3,11.65,12.4,19837.0
2022-12-01,4.34,-1.8,1.8,-0.7,1.3,-12.59,-7.53,5.1,-10.0,9.1,11.52,11.8,13063.0
2023-01-01,4.31,0.85,2.1,-0.8,-9.79,-12.02,-21.08,5.3,-7.85,8.6,11.85,12.6,59956.0
2023-02-01,4.26,3.5,1.0,-1.4,18.77,-2.87,4.24,5.5,-5.7,8.1,12.18,12.9,31610.0
2023-03-01,3.37,10.6,0.7,-2.5,3.9,10.84,-2.02,5.1,-5.8,7.0,10.82,12.7,53867.0
2023-04-01,5.94,18.4,0.1,-3.6,5.6,7.11,-8.82,4.7,-6.2,6.4,9.8,12.4,12249.0
2023-05-01,5.24,12.7,0.2,-4.6,3.5,-7.56,-5.28,4.0,-7.2,6.0,9.53,11.6,15560.0
2023-06-01,6.51,3.1,0.0,-5.4,4.4,-12.38,-7.08,3.8,-7.9,6.0,10.15,11.3,42265.0
2023-07-01,4.92,2.5,-0.3,-4.4,3.7,-14.26,-12.15,3.4,-8.5,5.7,9.41,10.7,5366.0
2023-08-01,5.91,4.6,0.1,-3.0,4.5,-8.55,-7.19,3.2,-8.8,5.9,8.96,10.6,31279.0
2023-09-01,3.37,5.5,0.0,-2.5,4.5,-6.85,-6.25,3.1,-9.1,6.2,8.64,10.3,41326.0
2023-10-01,5.58,7.6,-0.2,-2.6,4.6,-6.61,3.03,2.9,-9.3,6.2,8.27,10.3,18441.0
2023-11-01,6.36,10.1,-0.5,-3.0,6.6,0.69,-0.56,2.9,-9.4,6.3,7.96,10.0,24554.0
2023-12-01,5.98,7.4,-0.3,-2.7,6.8,2.15,0.29,3.0,-9.6,6.5,8.24,9.7,19326.0
2024-01-01,4.92,6.45,-0.8,-2.5,26.3,7.7,15.6,3.6,-9.3,7.95,8.6,8.7,64734.0
2024-02-01,5.92,5.5,0.7,-2.7,-12.7,6.25,-8.05,4.2,-9.0,9.4,8.96,8.7,14959.0
2024-03-01,4.49,3.1,0.1,-2.8,4.5,-7.68,-1.99,4.5,-9.5,9.9,8.75,8.3,48335.0
2024-04-01,5.22,2.3,0.3,-2.5,6.7,1.33,8.32,4.2,-9.8,9.7,7.78,7.2,-658.0
2024-05-01,6.07,3.7,0.3,-1.4,5.6,7.41,2.14,4.0,-10.1,9.6,6.68,7.0,20623.0
2024-06-01,4.1,2.0,0.2,-0.8,5.3,8.45,-2.55,3.9,-10.1,9.5,7.7,6.2,32985.0
2024-07-01,4.6,2.7,0.5,-0.8,5.1,6.93,6.67,3.6,-10.2,9.3,8.14,6.3,7707.0
2024-08-01,5.53,2.1,0.6,-1.8,4.5,8.6,0.07,3.4,-10.2,9.1,7.87,6.3,30323.0
2024-09-01,5.77,3.2,0.4,-2.8,5.4,2.35,0.16,3.4,-10.1,9.2,9.26,6.8,37635.0
2024-10-01,5.05,4.8,0.3,-2.9,5.3,12.65,-2.29,3.4,-10.3,9.3,9.35,7.5,14120.0
2024-11-01,5.47,3.0,0.2,-2.5,5.4,6.59,-3.88,3.3,-10.4,9.3,9.39,7.1,23288.0
2024-12-01,6.28,3.7,0.1,-2.3,6.2,10.7,0.93,3.2,-10.6,9.2,9.19,7.3,28507.0
2025-01-01,4.91,4.0,0.5,-2.3,-11.11,6.0,-16.4,3.65,-10.2,9.1,9.57,7.0,70546.0
2025-02-01,4.9,4.0,-0.7,-2.2,31.02,-3.0,1.5,4.1,-9.8,9.0,9.95,7.0,22375.0
2025-03-01,4.67,5.9,-0.1,-2.5,7.7,12.3,-4.4,4.2,-9.9,9.1,11.5,7.0,58894.0
2025-04-01,5.14,5.1,-0.1,-2.7,6.1,8.1,-0.2,4.0,-10.3,8.8,10.85,8.0,11591.0
2025-05-01,5.65,5.298763,0.026517,-2.433717,9.156081,10.716196,0.693968,3.908673,-10.26653,8.891644,10.45083,8.357535,26451.18
2025-06-01,5.09,3.852835,0.005073,-2.475196,8.96684,10.582466,0.057003,3.758764,-10.282563,8.890028,10.803592,8.291613,39045.637
2025-07-01,4.92,3.515288,0.036988,-2.376005,9.334371,9.865269,-0.005299,3.559792,-10.242566,8.858769,10.933804,8.380425,21501.643
2025-08-01,5.46,3.709798,0.093964,-2.408727,8.936795,11.018211,-0.140553,3.424815,-10.242931,8.84657,10.915665,8.462914,39260.06
2025-09-01,5.69,4.18,0.024497,-2.441749,9.19996,10.487627,-0.023596,3.346288,-10.271059,8.943491,11.066749,8.485263,42425.926
2025-10-01,6.51,4.967391,-0.007432,-2.464832,8.480653,11.551462,0.333288,3.235905,-10.365711,8.819511,10.941964,8.769627,28848.652
2025-11-01,5.57,4.898776,-0.066333,-2.449091,8.702235,10.718254,0.025717,3.182678,-10.37567,8.889221,10.847515,8.700003,37768.875
2025-12-01,5.13,4.817958,-0.098457,-2.347276,8.31079,11.065519,-0.010233,3.181646,-10.449669,8.803822,11.048986,8.899474,36805.92
